  212.0000     2.2642 
  212.5000     2.3375 
  213.0000     2.2367 
  213.5000     2.2088 
  214.0000     2.1340 
  214.5000     1.9768 
  215.0000     1.8991 
  215.5000     1.8139 
  216.0000     1.6032 
  216.5000     1.6032 
  217.0000     1.4914 
  217.5000     1.7102 
  218.0000     1.7102 
  218.5000     1.7102 
  219.0000     1.7102 
  219.5000     1.5920 
  220.0000     1.5418 
  220.5000     1.4517 
  221.0000     1.3420 
  221.5000     1.1801 
  222.0000     1.1967 
  222.5000     1.2210 
  223.0000     1.3063 
  223.5000     1.4006 
  224.0000     1.3824 
  224.5000     1.3726 
  225.0000     1.3699 
  225.5000     1.3699 
  226.0000     1.4240 
  226.5000     1.4644 
  227.0000     1.5314 
  227.5000     1.6789 
  228.0000     1.7647 
  228.5000     1.8313 
  229.0000     1.8598 
  229.5000     1.8439 
  230.0000     1.8377 
  230.5000     1.7878 
  231.0000     1.7119 
  231.5000     1.3543 
  232.0000     1.3543 
  232.5000     2.0605 
  233.0000     2.2265 
  233.5000     2.1414 
  234.0000     2.1414 
  234.5000     2.1036 
  235.0000     2.0140 
  235.5000     1.9519 
  236.0000     1.9519 
  236.5000     1.8574 
  237.0000     1.8678 
  237.5000     1.8611 
  238.0000     1.8611 
  238.5000     1.8611 
  239.0000     1.8808 
  239.5000     1.8939 
  240.0000     1.9305 
  240.5000     1.9683 
  241.0000     1.9732 
  241.5000     1.9263 
  242.0000     1.8650 
