  212.0000     0.5140 
  212.5000     0.5140 
  213.0000     0.5140 
  213.5000        NaN 
  214.0000        NaN 
  214.5000        NaN 
  215.0000        NaN 
  215.5000        NaN 
  216.0000     0.4805 
  216.5000     0.4805 
  217.0000     0.4805 
  217.5000     0.4805 
  218.0000     0.4805 
  218.5000     0.4805 
  219.0000     0.4914 
  219.5000     0.5117 
  220.0000     0.5117 
  220.5000     0.5117 
  221.0000     0.5117 
  221.5000     0.5117 
  222.0000        NaN 
  222.5000        NaN 
  223.0000        NaN 
  223.5000        NaN 
  224.0000        NaN 
  224.5000        NaN 
  225.0000        NaN 
  225.5000        NaN 
  226.0000     0.5128 
  226.5000     0.5128 
  227.0000     0.5128 
  227.5000     0.5158 
  228.0000     0.5178 
  228.5000     0.5201 
  229.0000     0.5218 
  229.5000     0.5223 
  230.0000     0.5223 
  230.5000        NaN 
  231.0000        NaN 
  231.5000        NaN 
  232.0000        NaN 
  232.5000        NaN 
  233.0000        NaN 
  233.5000     0.5223 
  234.0000     0.5223 
  234.5000     0.5223 
  235.0000     0.5223 
  235.5000     0.5217 
  236.0000     0.5208 
  236.5000     0.5193 
  237.0000     0.5152 
  237.5000     0.5153 
  238.0000     0.5153 
  238.5000     0.5118 
  239.0000     0.5086 
  239.5000     0.5005 
  240.0000     0.5005 
  240.5000     0.5005 
  241.0000     0.5005 
  241.5000     0.5005 
  242.0000     0.5005 
