     1   -45.0000   -20.0000        NaN        NaN        NaN 
     2   -40.0000   -20.0000    -0.2200     0.1066     0.0873 
     3   -35.0000   -20.0000     0.7068     0.0000     0.2341 
     4   -30.0000   -20.0000     0.5485     0.0000     0.3019 
     5   -25.0000   -20.0000    -0.2435     0.0732     0.1008 
     6   -20.0000   -20.0000     0.2614     0.0538     0.2854 
     7   -45.0000   -15.0000        NaN        NaN        NaN 
     8   -40.0000   -15.0000        NaN        NaN        NaN 
     9   -35.0000   -15.0000    -0.2378     0.0804     0.0937 
    10   -30.0000   -15.0000    -0.2659     0.0498     0.1061 
    11   -25.0000   -15.0000    -0.2724     0.0442     0.0130 
    12   -20.0000   -15.0000     0.4919     0.0001     0.3385 
    13   -45.0000   -10.0000        NaN        NaN        NaN 
    14   -40.0000   -10.0000        NaN        NaN        NaN 
    15   -35.0000   -10.0000     0.1393     0.3103     0.2985 
    16   -30.0000   -10.0000    -0.4512     0.0005     0.0031 
    17   -25.0000   -10.0000    -0.1844     0.1777     0.0767 
    18   -20.0000   -10.0000    -0.3597     0.0070     0.2622 
    19   -45.0000    -5.0000        NaN        NaN        NaN 
    20   -40.0000    -5.0000        NaN        NaN        NaN 
    21   -35.0000    -5.0000     0.6541     0.0000     0.3404 
    22   -30.0000    -5.0000     1.0000     0.0000     1.0000 
    23   -25.0000    -5.0000     0.6834     0.0000     0.6870 
    24   -20.0000    -5.0000     0.1623     0.2366     0.2270 
    25   -45.0000     0.0000    -0.1641     0.2313     0.0388 
    26   -40.0000     0.0000    -0.2057     0.1320     0.0551 
    27   -35.0000     0.0000    -0.1586     0.2473     0.0872 
    28   -30.0000     0.0000    -0.2019     0.1393     0.0957 
    29   -25.0000     0.0000     0.0126     0.9273     0.3004 
    30   -20.0000     0.0000     0.7374     0.0000     0.4088 
