  212.0000     2.2246 
  212.5000     2.0725 
  213.0000     2.0725 
  213.5000     2.0725 
  214.0000     2.1970 
  214.5000     2.2672 
  215.0000     2.2672 
  215.5000     2.3897 
  216.0000     2.4317 
  216.5000     2.5852 
  217.0000     2.7515 
  217.5000     2.8410 
  218.0000     2.9635 
  218.5000     2.9635 
  219.0000     2.8100 
  219.5000     2.5233 
  220.0000     2.5233 
  220.5000     2.5233 
  221.0000     2.5233 
  221.5000     2.3650 
  222.0000     2.2662 
  222.5000     2.1895 
  223.0000     2.1194 
  223.5000     2.1194 
  224.0000     2.1194 
  224.5000     2.1194 
  225.0000     1.9572 
  225.5000     1.6527 
  226.0000     1.6527 
  226.5000     1.6527 
  227.0000     1.6262 
  227.5000     1.5996 
  228.0000     1.6145 
  228.5000     1.6290 
  229.0000     1.6382 
  229.5000     1.6613 
  230.0000     1.6613 
  230.5000     1.6613 
  231.0000     1.6779 
  231.5000     2.1936 
  232.0000     2.1936 
  232.5000     2.1936 
  233.0000     2.3095 
  233.5000     2.3095 
  234.0000     2.3095 
  234.5000     2.3095 
  235.0000     2.3095 
  235.5000     2.3279 
  236.0000     2.3508 
  236.5000     2.3855 
  237.0000     2.4582 
  237.5000     2.4582 
  238.0000     2.4582 
  238.5000     2.3937 
  239.0000     2.3270 
  239.5000     2.1290 
  240.0000     2.1159 
  240.5000     2.1129 
  241.0000     2.1062 
  241.5000     2.1021 
  242.0000     1.9687 
