   31.0000     0.7366 
   31.5000     0.7365 
   32.0000     0.7363 
   32.5000     0.7354 
   33.0000     0.7351 
   33.5000     0.7346 
   34.0000     0.7336 
   34.5000     0.7337 
   35.0000     0.7344 
   35.5000     0.7353 
   36.0000     0.7346 
   36.5000     0.7321 
   37.0000     0.7321 
   37.5000        NaN 
   38.0000        NaN 
   38.5000        NaN 
   39.0000        NaN 
   39.5000        NaN 
   40.0000     0.7312 
   40.5000     0.7312 
   41.0000     0.7312 
   41.5000     0.7313 
   42.0000     0.7315 
   42.5000     0.7320 
   43.0000     0.5340 
   43.5000     0.3522 
   44.0000     0.2627 
   44.5000     0.3181 
   45.0000     0.3974 
   45.5000     0.5475 
   46.0000     0.6496 
   46.5000     0.6841 
   47.0000     0.7348 
   47.5000     0.7327 
   48.0000     0.7307 
   48.5000     0.7293 
   49.0000     0.7293 
   49.5000     0.7214 
   50.0000     0.7166 
   50.5000     0.7130 
   51.0000     0.7130 
   51.5000     0.7123 
   52.0000     0.7118 
   52.5000     0.7118 
   53.0000     0.7107 
   53.5000     0.7131 
   54.0000     0.7144 
   54.5000     0.7144 
   55.0000     0.7158 
   55.5000     0.7183 
   56.0000     0.7183 
   56.5000        NaN 
   57.0000        NaN 
   57.5000        NaN 
   58.0000        NaN 
