  212.0000        NaN 
  212.5000        NaN 
  213.0000        NaN 
  213.5000     0.6490 
  214.0000     0.6490 
  214.5000     0.6490 
  215.0000     0.6490 
  215.5000     0.6388 
  216.0000     0.6240 
  216.5000     0.6197 
  217.0000     0.6164 
  217.5000     0.6158 
  218.0000     0.6128 
  218.5000     0.6144 
  219.0000     0.6160 
  219.5000     0.6169 
  220.0000     0.6191 
  220.5000     0.6171 
  221.0000     0.6130 
  221.5000     0.6076 
  222.0000     0.5325 
  222.5000     0.4230 
  223.0000     0.3230 
  223.5000     0.2501 
  224.0000     0.1866 
  224.5000     0.1866 
  225.0000     0.1866 
  225.5000     0.3938 
  226.0000     0.6485 
  226.5000     0.6485 
  227.0000     0.6485 
  227.5000     0.6485 
  228.0000     0.6485 
  228.5000        NaN 
  229.0000        NaN 
  229.5000        NaN 
  230.0000        NaN 
  230.5000        NaN 
  231.0000        NaN 
  231.5000        NaN 
  232.0000        NaN 
  232.5000     0.6534 
  233.0000     0.6534 
  233.5000     0.6534 
  234.0000     0.6534 
  234.5000     0.6534 
  235.0000     0.6534 
  235.5000     0.6430 
  236.0000     0.6355 
  236.5000     0.6355 
  237.0000     0.6355 
  237.5000     0.6355 
  238.0000     0.6355 
  238.5000        NaN 
  239.0000        NaN 
  239.5000        NaN 
  240.0000        NaN 
  240.5000        NaN 
  241.0000        NaN 
  241.5000     0.7080 
  242.0000     0.7022 
